gene	liver_448_adjacent_non-tumor_tissue	liver_448_tumor	liver_473_adjacent_non-tumor_tissue	liver_473_tumor	liver_510_adjacent_non-tumor_tissue	liver_510_tumor
LOC107986271	0	0	0	0	0	0
LOC107986271_1	0	0	0	0	0	0
LOC107986272	0	0	0	0	0	0
LOC107986273	1	0	1	1	3	5
LOC107986275	1	0	0	0	0	0
LOC107986276	0	0	0	0	0	0
LOC107986277	0	0	0	0	0	0
LOC107986279	0	0	0	0	0	0
LOC107986281	0	0	0	1	0	0
LOC107986283	0	0	0	0	0	0
LOC107986284	0	0	0	0	0	0
LOC107986285	2	0	2	0	1	1
LOC107986286	0	0	0	0	0	0
LOC107986287	266	24	378	13	153	83
LOC107986289	0	0	0	1	0	0
LOC107986290	5	1	0	1	1	2
LOC107986291	6	4	3	0	9	6
LOC107986292	0	0	0	0	0	0
LOC107986293	1	0	2	0	0	10
LOC107986294	0	4	0	3	1	0
LOC107986295	0	0	0	0	0	0
LOC107986297	0	1	0	0	0	1
LOC107986298	51	41	31	18	57	6
LOC107986299	3	4	3	1	0	1
LOC107986300	0	0	0	0	0	0
LOC107986302	1	1	0	2	0	4
LOC107986303	2	1	2	1	3	2
LOC107986304	3	0	0	2	1	3
LOC107986305	0	1	0	0	0	2
LOC107986306	0	0	0	1	0	0
LOC107986307	0	0	0	0	0	0
LOC107986309	0	0	0	0	0	0
LOC107986310	0	0	0	0	0	0
LOC107986312	2	0	0	0	0	2
LOC107986314	0	0	0	0	0	0
LOC107986315	0	1	0	0	0	8
LOC107986317	0	0	0	0	0	1
LOC107986320	0	0	0	0	0	0
LOC107986321	0	0	0	0	0	0
LOC107986324	0	9	0	0	0	8
LOC107986325	0	0	0	1	0	0
LOC107986326	3	2	2	0	3	1
LOC107986327	0	0	0	0	0	0
LOC107986328	0	0	0	0	0	0
LOC107986329	0	1	0	0	0	0
LOC107986330	0	1	0	0	0	0
LOC107986332	4	4	4	2	15	0
LOC107986334	9	1	1	1	1	2
LOC107986335	0	0	0	0	1	0
LOC107986337	0	0	0	0	0	0
LOC107986338	0	0	5	0	0	0
LOC107986343	0	0	0	0	0	0
LOC107986345	1	0	1	0	0	0
LOC107986347	0	0	0	1	0	0
LOC107986348	6	4	1	0	0	5
LOC107986350	0	2	0	0	0	3
LOC107986355	0	0	0	0	0	0
LOC107986356	0	0	0	0	0	0
LOC107986357	0	0	0	0	0	0
LOC107986358	0	0	0	0	0	0
LOC107986358_1	0	0	0	0	0	0
LOC107986359	0	2	0	0	0	0
LOC107986360	0	0	0	1	0	0
LOC107986361	5	1	1	0	2	3
LOC107986362	1	1	1	0	1	0
LOC107986363	31	47	20	13	11	16
LOC107986364	8	4	1	0	0	2
LOC107986365	0	0	6	0	4	3
LOC107986366	0	0	0	0	0	0
LOC107986367	0	0	0	0	0	0
LOC107986368	0	1	2	0	0	0
LOC107986369	1	0	0	0	0	0
LOC107986370	0	0	0	0	0	0
LOC107986372	0	0	0	0	0	0
LOC107986373	0	0	0	0	0	0
LOC107986376	0	0	0	0	0	0
LOC107986377	0	0	0	0	0	0
LOC107986379	0	0	0	0	0	0
LOC107986380	0	0	1	0	0	0
LOC107986381	0	0	0	0	0	1
LOC107986382	1	0	0	0	0	0
LOC107986383	1	1	0	1	0	0
LOC107986384	0	0	0	1	0	0
LOC107986385	0	0	0	0	0	0
LOC107986386	0	0	0	0	0	0
LOC107986387	0	0	0	0	0	0
LOC107986388	0	0	0	0	0	0
LOC107986391	0	0	0	1	0	0
LOC107986392	0	0	0	0	0	0
LOC107986394	0	1	0	0	0	0
LOC107986395	0	0	0	0	0	0
LOC107986395_1	0	0	0	0	0	0
LOC107986396	0	0	0	0	0	0
LOC107986396_1	0	0	0	0	0	0
LOC107986397	0	0	0	0	1	0
LOC107986398	0	0	0	0	0	0
LOC107986399	0	0	0	0	0	0
LOC107986400	0	0	0	0	0	0
LOC107986401	12	3	6	1	11	0
LOC107986403	0	0	0	0	0	0
LOC107986405	0	0	0	0	0	0
LOC107986406	1	0	0	1	0	0
LOC107986409	0	0	0	0	0	0
LOC107986410	0	17	0	0	0	2
LOC107986410_1	0	0	0	0	0	0
LOC107986411	9	6	5	1	8	14
LOC107986412	2	2	14	9	6	49
LOC107986413	1	7	0	1	2	5
LOC107986414	5	1	0	0	0	79
LOC107986415	1	0	1	1	1	2
LOC107986416	0	0	0	0	0	0
LOC107986418	0	1	0	0	0	0
LOC107986419	0	0	0	0	0	0
LOC107986420	1	0	0	0	0	0
LOC107986421	0	0	0	0	0	0
LOC107986421_1	0	0	0	0	0	0
LOC107986421_2	0	0	0	0	0	0
LOC107986422	16	2	5	6	1	6
LOC107986423	1	2	1	0	1	0
LOC107986424	0	1	0	0	0	0
LOC107986426	2	0	3	2	0	0
LOC107986428	17	5	20	5	2	3
LOC107986430	0	0	0	0	0	0
LOC107986431	0	0	0	0	0	0
LOC107986432	0	14	1	5	3	34
LOC107986433	0	4	0	1	0	1
LOC107986434	2	0	1	0	0	0
LOC107986435	2	0	0	0	0	0
LOC107986436	1	0	3	0	0	0
LOC107986437	6	8	5	3	4	14
LOC107986438	0	0	0	0	0	0
LOC107986439	0	0	0	0	0	1
LOC107986440	0	2	0	0	1	0
LOC107986441	0	0	1	0	0	0
LOC107986444	14	2	2	0	1	0
LOC107986446	15	4	5	1	17	8
LOC107986448	0	0	0	0	0	0
LOC107986449	0	2	0	0	0	0
LOC107986450	0	0	0	0	0	0
LOC107986451	1	1	2	2	1	3
LOC107986452	2	13	0	4	0	0
LOC107986453	0	1	0	0	3	0
LOC107986454	3	5	2	2	0	0
LOC107986455	6	5	3	7	3	3
LOC107986457	1	0	1	0	0	0
LOC107986458	3	8	11	4	6	1
LOC107986459	0	0	1	0	0	0
LOC107986461	0	0	1	0	0	0
LOC107986462	0	0	0	0	0	0
LOC107986463	1	0	1	0	0	1
LOC107986464	0	0	0	0	0	0
LOC107986465	5	14	2	3	5	13
LOC107986466	1	0	1	1	0	3
LOC107986467	6	9	1	10	0	2
LOC107986468	0	0	0	0	0	0
LOC107986469	0	0	0	0	0	0
LOC107986470	20	0	11	0	2	0
LOC107986472	0	0	0	0	0	0
LOC107986473	2	0	0	0	0	19
LOC107986474	0	0	0	0	0	0
LOC107986475	3	2	0	0	0	2
LOC107986476	2	8	0	3	2	1
LOC107986477	4	1	0	0	2	1
LOC107986478	0	0	1	0	2	0
LOC107986479	0	0	0	0	0	0
LOC107986482	48	2	51	1	19	2
LOC107986483	0	0	0	0	0	0
LOC107986484	0	0	0	0	0	0
LOC107986485	1	1	1	49	0	20
LOC107986486	0	0	0	0	0	0
LOC107986487	0	1	3	0	0	0
LOC107986488	8	15	1	4	6	5
LOC107986489	0	9	0	5	0	0
LOC107986490	0	0	0	0	0	0
LOC107986491	0	0	0	0	0	0
LOC107986492	0	0	0	0	0	0
LOC107986493	1	0	0	0	1	0
LOC107986494	0	0	0	0	0	0
LOC107986494_1	0	0	0	0	0	0
LOC107986495	0	0	0	0	0	0
LOC107986512	1	1	0	1	1	0
LOC107986513	3	4	8	9	2	1
LOC107986514	2	1	0	2	0	4
LOC107986515	8	6	7	13	2	1
LOC107986516	3	5	0	0	0	0
LOC107986517	3	0	0	0	0	0
LOC107986519	0	0	0	0	0	0
LOC107986521	0	0	0	0	0	0
LOC107986522	1	0	0	0	0	0
LOC107986523	0	0	0	1	0	0
LOC107986524	0	0	0	2	0	0
LOC107986525	0	2	1	0	0	1
LOC107986526	13	1	12	11	9	6
LOC107986528	48	20	74	1	38	2
LOC107986529	20	4	28	2	34	11
LOC107986531	0	0	0	0	2	2
LOC107986532	0	0	0	0	0	0
LOC107986537	0	0	0	0	0	0
LOC107986538	0	0	0	0	0	0
LOC107986539	0	0	0	0	0	0
LOC107986540	0	0	1	0	0	0
LOC107986541	0	0	0	0	0	0
LOC107986543	0	0	0	0	0	0
LOC107986544	0	13	4	3	1	1
LOC107986545	0	0	0	0	0	0
LOC107986546	0	0	0	0	1	0
LOC107986547	5	0	2	1	2	10
LOC107986548	0	0	0	0	0	0
LOC107986549	0	0	0	0	0	0
LOC107986550	0	0	0	0	0	0
LOC107986551	0	0	0	0	0	0
LOC107986551_1	0	0	0	0	0	0
LOC107986552	0	0	0	0	0	0
LOC107986553	1	1	0	0	0	0
LOC107986554	11	40	4	4	0	2
LOC107986555	0	0	0	0	0	1
LOC107986556	4	12	3	5	2	3
LOC107986557	1	0	1	0	7	1
LOC107986558	12	6	1	0	0	16
LOC107986559	0	0	0	0	0	0
LOC107986560	0	0	0	0	0	0
LOC107986561	0	0	0	0	0	0
LOC107986562	1	0	0	0	0	0
LOC107986564	0	0	0	0	0	0
LOC107986566	0	2	0	0	2	0
LOC107986567	0	0	6	1	6	1
LOC107986569	0	0	0	0	0	0
LOC107986570	14	0	32	1	31	1
LOC107986571	5	3	1	1	2	3
LOC107986572	0	0	0	0	0	1
LOC107986573	0	0	0	0	0	0
LOC107986574	0	0	0	0	0	0
LOC107986575	2	0	1	0	0	0
LOC107986576	0	0	0	0	1	0
LOC107986577	1	1	1	0	0	0
LOC107986578	0	0	0	1	0	0
LOC107986579	0	0	0	0	0	0
LOC107986582	0	0	0	0	0	0
LOC107986583	0	0	0	0	0	1
LOC107986584	0	0	3	0	4	0
LOC107986586	0	0	0	0	0	0
LOC107986586_1	0	0	0	0	0	0
LOC107986588	0	0	0	0	0	0
LOC107986588_1	0	0	0	0	0	0
LOC107986588_2	0	0	0	0	0	0
LOC107986588_3	0	0	0	0	0	0
LOC107986588_4	0	0	0	0	0	0
LOC107986588_5	0	0	0	0	0	0
LOC107986588_6	0	0	0	0	0	0
LOC107986589	4	0	3	2	0	2
LOC107986590	5	37	26	36	41	0
LOC107986593	2	3	2	0	0	3
LOC107986594	1	0	0	0	1	1
LOC107986595	0	0	0	0	0	0
LOC107986596	1	0	0	0	0	1
LOC107986597	1	1	0	4	4	1
LOC107986598	0	9	0	3	1	2
LOC107986599	5	5	2	15	1	13
LOC107986600	1	1	1	1	0	0
LOC107986601	0	0	0	0	0	0
LOC107986602	0	0	0	0	0	0
LOC107986603	3	1	3	2	1	0
LOC107986604	0	1	0	0	0	0
LOC107986606	0	1	0	0	0	1
LOC107986607	0	0	0	0	0	0
LOC107986608	2	0	1	0	0	0
LOC107986610	0	0	0	0	0	0
LOC107986611	0	0	0	0	0	0
LOC107986613	1	0	0	8	0	1
LOC107986614	0	5	4	1	4	0
LOC107986617	8	3	3	1	7	33
LOC107986619	0	0	0	0	1	0
LOC107986620	0	0	0	0	1	1
LOC107986621	0	0	0	0	0	1
LOC107986622	0	0	0	1	0	2
LOC107986623	0	0	0	1	0	0
LOC107986624	0	0	0	0	0	0
LOC107986625	1	0	0	0	0	0
LOC107986626	0	0	0	0	0	0
LOC107986627	0	0	0	0	0	0
LOC107986629	1	0	0	0	0	1
LOC107986630	3	1	1	0	2	1
LOC107986631	0	1	0	0	0	0
LOC107986632	2	1	1	0	0	2
LOC107986633	1	0	8	0	2	0
LOC107986634	0	0	0	0	0	0
LOC107986635	0	0	0	1	0	0
LOC107986636	0	1	0	0	0	0
LOC107986637	0	0	0	0	0	0
LOC107986638	0	0	0	0	0	0
LOC107986639	1	33	0	1	1	2
LOC107986640	0	0	0	0	0	1
LOC107986641	0	0	0	0	0	0
LOC107986642	1	0	0	0	1	3
LOC107986643	1	1	0	1	0	0
LOC107986644	11	0	22	5	5	11
LOC107986646	1	0	0	1	0	2
LOC107986649	48	31	34	15	28	60
LOC107986650	5	1	3	0	0	0
LOC107986651	0	2	3	0	0	0
LOC107986652	0	0	0	0	0	0
LOC107986653	0	0	0	0	0	0
LOC107986654	0	0	0	0	0	0
LOC107986655	10	5	4	4	2	18
LOC107986656	23	4	9	0	11	8
LOC107986659	2	0	0	0	2	0
LOC107986660	4	3	3	3	1	4
LOC107986661	0	0	0	0	0	0
LOC107986662	0	0	0	0	0	0
LOC107986663	0	0	0	0	0	0
LOC107986664	0	0	0	1	0	0
LOC107986666	0	0	0	0	0	1
LOC107986667	0	0	0	0	0	0
LOC107986668	0	0	0	0	0	0
LOC107986668_1	0	0	0	0	0	0
LOC107986669	7	7	4	6	1	0
LOC107986671	0	0	0	0	0	1
LOC107986672	0	0	0	1	0	1
LOC107986673	21	24	10	5	12	16
LOC107986674	0	0	0	1	1	1
LOC107986675	2	3	1	1	7	1
LOC107986676	0	0	0	0	0	0
LOC107986676_1	0	0	0	0	0	0
LOC107986677	0	0	0	0	0	0
LOC107986678	0	0	0	0	0	0
LOC107986694	0	1	0	0	0	0
LOC107986696	0	0	0	0	0	0
LOC107986697	11	4	11	1	19	0
LOC107986698	8	2	6	2	10	2
LOC107986699	19	6	11	8	7	4
LOC107986700	1	4	2	1	0	0
LOC107986707	1	0	2	3	1	1
LOC107986708	1	0	0	0	0	0
LOC107986709	4	0	6	0	6	0
LOC107986710	0	0	0	0	0	0
LOC107986712	0	0	1	0	0	0
LOC107986713	0	0	0	0	0	0
LOC107986714	3	9	7	1	4	0
LOC107986715	1	2	0	2	0	0
LOC107986716	0	0	0	0	0	0
LOC107986717	1	1	0	2	0	2
LOC107986718	0	1	0	11	0	0
LOC107986719	0	0	0	0	0	0
LOC107986720	0	0	0	0	0	0
LOC107986721	0	0	0	0	0	0
LOC107986722	0	0	0	0	0	0
LOC107986733	0	3	0	0	0	3
LOC107986734	0	0	0	0	0	0
LOC107986735	0	0	0	0	0	1
LOC107986736	0	0	6	0	5	0
LOC107986737	0	0	0	0	0	0
LOC107986738	0	0	0	0	0	0
LOC107986741	0	0	0	0	0	0
LOC107986742	0	1	3	0	2	1
LOC107986743	0	1	4	0	4	0
LOC107986744	0	0	0	0	0	1
LOC107986745	0	0	0	0	0	0
LOC107986746	0	0	0	0	0	0
LOC107986747	0	0	0	0	0	0
LOC107986749	0	0	0	0	0	0
LOC107986750	0	0	0	0	0	0
LOC107986751	0	0	0	0	0	0
LOC107986751_1	0	0	0	0	0	0
LOC107986755	1	1	0	1	0	1
LOC107986756	1	7	1	0	1	4
LOC107986757	0	1	0	0	0	0
LOC107986758	0	0	0	0	0	0
LOC107986759	0	0	0	0	0	0
LOC107986760	0	1	1	1	0	12
LOC107986761	0	1	0	0	1	3
LOC107986762	0	0	0	0	0	0
LOC107986763	0	0	0	0	0	0
LOC107986764	0	0	0	0	0	0
LOC107986766	0	0	0	0	0	0
LOC107986767	0	3	0	0	0	2
LOC107986768	0	0	0	0	0	0
LOC107986769	0	0	0	1	0	0
LOC107986770	1	0	0	0	0	0
LOC107986772	2	4	2	1	2	0
LOC107986773	0	0	0	0	0	0
LOC107986774	0	1	0	0	0	0
LOC107986775	0	0	0	2	0	1
LOC107986776	2	0	3	0	1	0
LOC107986777	0	0	0	0	0	0
LOC107986778	0	0	0	0	0	0
LOC107986779	0	0	0	1	0	1
LOC107986780	2	2	1	0	1	2
LOC107986781	0	0	0	0	0	0
LOC107986782	0	0	0	2	0	0
LOC107986784	0	0	0	0	0	0
LOC107986785	7	20	3	29	0	9
LOC107986786	1	0	1	0	0	0
LOC107986787	0	1	5	0	6	0
LOC107986788	0	0	0	0	0	1
LOC107986789	0	0	0	0	0	0
LOC107986790	0	0	0	0	0	0
LOC107986794	0	0	0	0	0	0
LOC107986796	0	0	0	0	0	0
LOC107986798	5	0	0	0	0	3
LOC107986800	0	2	0	0	0	1
LOC107986811	0	0	0	0	0	0
LOC107986812	1	1	1	0	0	0
LOC107986813	2	0	1	1	0	0
LOC107986814	0	0	0	0	0	0
LOC107986815	0	0	0	0	0	0
LOC107986816	0	0	0	0	0	0
LOC107986817	0	0	0	0	0	0
LOC107986819	4	2	1	3	0	0
LOC107986820	2	1	10	13	4	3
LOC107986821	0	0	0	0	0	0
LOC107986822	30	11	39	7	19	4
LOC107986823	28	9	19	2	6	1
LOC107986824	14	16	7	7	13	17
LOC107986825	1	4	3	2	1	9
LOC107986826	0	0	0	0	0	0
LOC107986828	2	0	2	0	0	2
LOC107986829	0	0	0	0	0	0
LOC107986830	0	1	0	1	0	1
LOC107986832	0	0	0	0	1	0
LOC107986833	2	0	3	0	0	0
LOC107986834	0	0	0	0	0	1
LOC107986835	0	0	0	0	0	0
LOC107986836	0	0	0	0	0	0
LOC107986837	0	0	0	0	0	3
LOC107986838	9	15	2	10	5	43
LOC107986839	3	0	0	0	1	1
LOC107986840	1	32	0	0	0	77
LOC107986841	0	0	0	0	0	0
LOC107986842	0	1	0	1	0	0
LOC107986843	0	0	0	0	0	0
LOC107986845	0	0	0	0	0	0
LOC107986846	0	0	0	0	0	0
LOC107986847	1	1	2	3	0	0
LOC107986848	0	0	0	0	0	0
LOC107986849	0	0	0	0	0	0
LOC107986850	0	0	1	2	0	4
LOC107986852	3	4	0	15	0	1
LOC107986853	0	3	1	1	1	10
LOC107986854	0	5	0	0	0	3
LOC107986855	0	0	0	0	0	0
LOC107986855_1	0	0	0	0	0	0
LOC107986856	1	8	2	7	0	3
LOC107986858	17	69	55	9	22	12
LOC107986859	8	15	4	5	5	34
LOC107986860	0	0	0	0	0	0
LOC107986862	0	2	0	0	0	1
LOC107986863	0	0	0	0	0	0
LOC107986864	0	0	0	0	0	0
LOC107986865	0	0	0	0	0	0
LOC107986865_1	0	0	0	0	0	0
LOC107986868	2	0	3	0	1	1
LOC107986870	4	1	0	0	3	0
LOC107986871	8	28	4	6	3	7
LOC107986872	0	1	0	1	0	2
LOC107986874	32	21	52	12	10	34
LOC107986876	0	2	1	0	0	0
LOC107986880	0	0	0	0	0	0
LOC107986881	0	0	2	0	0	0
LOC107986882	1	6	0	0	0	3
LOC107986883	0	0	0	0	0	0
LOC107986884	0	0	0	0	0	1
LOC107986885	0	0	0	0	0	0
LOC107986886	0	0	0	0	0	0
LOC107986887	0	0	0	0	0	0
LOC107986888	0	0	0	0	0	0
LOC107986890	0	0	0	0	0	0
LOC107986891	0	1	0	0	0	0
LOC107986892	1	0	0	0	0	0
LOC107986893	0	0	0	0	0	0
LOC107986894	0	0	0	0	0	0
LOC107986895	1	1	0	0	0	0
LOC107986896	0	0	0	0	0	0
LOC107986897	0	0	0	0	0	0
LOC107986898	0	1	0	0	0	2
LOC107986899	1	1	2	0	12	0
LOC107986901	3	0	0	6	0	2
LOC107986902	0	0	0	0	0	0
LOC107986903	0	0	0	0	0	0
LOC107986904	0	47	0	25	0	90
LOC107986905	0	0	0	0	0	0
LOC107986906	1	1	0	0	0	1
LOC107986907	0	0	0	0	0	0
LOC107986908	0	0	0	0	0	0
LOC107986909	0	0	0	0	0	0
LOC107986909_1	0	0	0	0	0	0
LOC107986910	0	0	0	0	0	0
LOC107986910_1	0	0	0	0	0	0
LOC107986912	0	0	0	0	0	0
LOC107986913	0	0	0	0	0	0
LOC107986913_1	0	0	0	0	0	0
LOC107986915	0	0	0	0	0	0
LOC107986915_1	0	0	0	0	0	0
LOC107986916	0	0	0	0	0	0
LOC107986918	4	2	0	2	0	0
LOC107986919	0	1	0	0	0	0
LOC107986920	0	0	1	0	0	0
LOC107986921	0	0	0	0	0	0
LOC107986922	0	0	0	0	0	0
LOC107986922_1	0	0	0	0	0	0
LOC107986923	0	0	0	0	0	0
LOC107986924	1	0	2	0	0	1
LOC107986925	0	0	0	0	0	0
LOC107986926	0	1	1	0	1	0
LOC107986929	1	0	0	1	0	0
LOC107986930	0	0	0	0	0	0
LOC107986931	0	0	0	0	0	0
LOC107986932	0	0	0	0	0	0
LOC107986933	0	0	0	0	0	0
LOC107986934	1	0	1	1	0	0
LOC107986935	0	0	0	1	1	0
LOC107986936	0	0	0	0	0	0
LOC107986938	0	0	0	0	0	0
LOC107986939	0	2	0	0	0	1
LOC107986940	0	0	0	1	1	4
LOC107986941	0	0	0	0	0	0
LOC107986942	0	3	1	0	2	1
LOC107986943	12	1	6	0	11	0
LOC107986944	0	0	0	0	0	0
LOC107986945	0	0	0	0	0	0
LOC107986946	18	21	45	8	48	36
LOC107986948	3	2	0	0	0	3
LOC107986949	1	0	1	0	0	2
LOC107986950	4	0	0	0	0	0
LOC107986951	0	0	0	0	0	0
LOC107986952	0	0	0	0	0	48
LOC107986953	0	0	0	0	0	0
LOC107986954	0	0	9	0	1	0
LOC107986955	0	3	0	0	0	1
LOC107986956	3	0	1	2	1	3
LOC107986957	0	0	0	0	0	0
LOC107986959	9	175	4	6	3	35
LOC107986961	1	0	1	0	0	0
LOC107986962	11	0	3	0	1	0
LOC107986963	1	0	0	0	0	0
LOC107986964	0	0	0	0	0	1
LOC107986965	0	4	0	0	0	1
LOC107986966	0	0	0	0	0	0
LOC107986968	0	0	0	0	0	0
LOC107986969	0	0	0	0	0	0
LOC107986970	0	0	0	0	1	2
LOC107986971	0	0	0	0	0	1
LOC107986972	0	16	2	0	1	8
LOC107986973	0	12	0	7	0	1784
LOC107986974	0	0	1	0	0	0
LOC107986976	0	0	0	0	0	0
LOC107986977	0	0	0	1	0	0
LOC107986978	0	0	0	0	0	0
LOC107986979	0	0	0	0	0	0
LOC107986981	2	4	1	1	2	1
LOC107986982	0	0	0	2	0	1
LOC107986983	0	0	0	0	0	0
LOC107986984	0	26	0	2	0	0
LOC107986985	20	73	22	26	27	79
LOC107986986	1	2	0	0	0	0
LOC107986986_1	0	0	0	0	0	0
LOC107986989	3	1	2	0	3	4
LOC107986990	2	0	4	0	0	0
LOC107986991	3	2	1	3	0	0
LOC107986992	0	0	0	0	0	0
LOC107986993	0	0	0	0	0	0
LOC107986995	0	0	0	0	0	0
LOC107986997	18	16	4	9	2	2
LOC107986998	0	0	0	0	0	0
LOC107987000	0	0	0	0	0	0
LOC107987003	0	0	0	0	0	0
LOC107987004	0	0	0	0	0	0
LOC107987006	0	0	0	0	0	0
LOC107987007	0	0	0	0	0	0
LOC107987008	0	0	0	0	0	0
LOC107987009	0	0	0	0	0	0
LOC107987010	0	0	0	0	0	0
LOC107987011	0	0	1	0	2	0
LOC107987012	0	0	1	0	1	0
LOC107987013	0	1	0	0	0	0
LOC107987014	2	94	5	5	5	51
LOC107987015	4	88	7	4	11	70
LOC107987016	0	0	1	0	0	0
LOC107987026	0	0	0	0	0	0
LOC107987027	0	0	0	0	0	0
LOC107987028	0	0	0	1	0	0
LOC107987029	0	0	0	1	0	0
LOC107987031	0	0	0	0	0	0
LOC107987032	0	1	0	2	0	366
LOC107987033	1	1	0	0	0	0
LOC107987035	0	0	0	0	0	0
LOC107987037	0	0	0	0	0	0
LOC107987038	0	0	0	0	0	5
LOC107987039	3	1	6	2	23	3
LOC107987040	0	0	0	0	0	0
LOC107987042	5	4	6	4	1	7
LOC107987043	13	0	2	9	2	4
LOC107987044	1	0	0	2	0	0
LOC107987046	0	0	0	1	0	0
LOC107987047	2	1	0	0	2	1
LOC107987048	0	0	0	0	0	0
LOC107987049	0	0	0	0	0	1
LOC107987051	3	0	0	0	1	0
LOC107987052	0	0	0	0	0	0
LOC107987053	1	0	0	0	0	0
LOC107987054	10	9	13	0	8	0
LOC107987055	4	3	4	0	4	0
LOC107987056	0	0	0	0	0	0
LOC107987057	8	8	5	3	0	3
LOC107987059	0	0	0	0	0	1
LOC107987060	2	0	1	0	0	0
LOC107987061	0	0	1	0	1	0
LOC107987063	5	3	3	3	2	1
LOC107987064	0	0	0	0	0	0
LOC107987065	0	0	0	0	0	1
LOC107987066	0	0	0	0	0	0
LOC107987067	0	0	0	0	0	0
LOC107987068	0	0	0	0	0	0
LOC107987069	1	0	0	0	0	0
LOC107987070	0	0	0	0	0	0
LOC107987071	0	0	0	0	0	0
LOC107987072	8	11	0	0	2	25
LOC107987073	0	0	0	0	0	0
LOC107987074	0	0	0	0	0	0
LOC107987075	0	0	0	0	0	0
LOC107987076	0	0	0	0	0	0
LOC107987077	0	0	0	0	0	0
LOC107987078	0	0	0	0	0	0
LOC107987079	0	0	0	0	0	0
LOC107987080	0	0	3	0	3	2
LOC107987081	17	3	10	12	3	8
LOC107987083	4	0	0	0	2	0
LOC107987084	0	0	2	0	2	4
LOC107987085	0	0	1	0	2	2
LOC107987086	0	0	0	0	0	0
LOC107987087	0	0	0	0	0	0
LOC107987088	0	0	0	0	0	0
LOC107987090	0	0	0	0	0	0
LOC107987091	11	238	10	2	7	2
LOC107987094	0	0	0	0	0	0
LOC107987095	9	12	5	4	7	22
LOC107987097	27	68	17	7	18	15
LOC107987099	0	0	0	0	0	0
LOC107987100	46	15	37	12	9	3
LOC107987101	1	0	0	0	0	0
LOC107987102	3	3	4	2	2	3
LOC107987103	1	0	1	0	1	0
LOC107987104	1	5	1	3	0	27
LOC107987105	0	0	2	0	0	0
LOC107987107	0	1	1	2	0	2
LOC107987108	0	2	0	0	0	1
LOC107987109	0	0	0	0	0	0
LOC107987110	1	0	0	0	0	2
LOC107987111	5	0	6	5	4	0
LOC107987112	0	0	0	0	0	2
LOC107987113	3	0	0	1	0	0
LOC107987114	0	0	0	0	0	0
LOC107987115	0	0	0	0	0	0
LOC107987116	3	0	11	1	4	8
LOC107987117	0	0	0	0	0	0
LOC107987118	1	7	0	2	1	6
LOC107987119	3	0	1	6	4	3
LOC107987120	0	1	3	3	3	3
LOC107987121	0	1	0	0	0	1
LOC107987122	0	0	0	0	0	0
LOC107987123	1	0	0	0	0	0
LOC107987124	0	0	0	0	0	0
LOC107987125	0	1	0	2	0	0
LOC107987126	1	4	2	0	4	4
LOC107987127	0	2	0	1	1	4
LOC107987128	1	0	2	4	0	6
LOC107987129	0	0	0	0	0	0
LOC107987132	0	0	0	0	0	0
LOC107987133	1	0	0	1	0	1
LOC107987134	65	55	35	22	75	6
LOC107987135	0	0	0	0	0	0
LOC107987137	1	6	15	6	13	0
LOC107987138	3	0	11	0	25	0
LOC107987139	0	0	0	1	0	0
LOC107987140	0	0	1	0	0	0
LOC107987141	7	53	8	19	6	35
LOC107987142	21	42	21	9	11	10
LOC107987143	0	1	0	0	0	0
LOC107987145	0	0	0	0	0	0
LOC107987146	0	0	0	0	0	0
LOC107987147	3	0	1	5	2	1
LOC107987148	0	0	0	0	0	0
LOC107987150	0	0	0	0	0	0
LOC107987151	0	0	0	0	0	1
LOC107987152	1	1	0	0	0	0
LOC107987153	1	0	1	0	0	0
LOC107987157	0	0	0	0	0	0
LOC107987157_1	0	0	0	0	0	0
LOC107987158	0	2	0	0	0	0
LOC107987160	0	11	0	0	0	112
LOC107987164	0	0	0	0	0	0
LOC107987165	0	0	0	0	0	0
LOC107987166	3	0	3	1	1	0
LOC107987170	0	0	0	0	0	0
LOC107987170_1	0	0	0	0	0	0
LOC107987171	0	0	0	0	0	0
LOC107987172	0	11	0	10	0	7
LOC107987174	1	2	0	3	0	1
LOC107987176	0	0	0	0	0	0
LOC107987177	0	0	0	0	0	0
LOC107987178	0	0	0	0	0	0
LOC107987180	1	0	1	0	1	0
LOC107987181	4	12	4	8	2	4
LOC107987182	0	1	1	1	1	0
LOC107987183	0	0	0	0	0	0
LOC107987187	0	56	0	2	0	13
LOC107987189	0	0	0	0	0	0
LOC107987190	0	0	0	0	0	0
LOC107987191	0	0	0	0	0	0
LOC107987192	0	0	0	0	0	0
LOC107987192_1	0	0	0	0	0	0
LOC107987206	0	1	1	0	0	0
LOC107987207	0	0	0	0	0	0
LOC107987209	30	20	44	20	21	40
LOC107987210	0	1	0	0	0	0
LOC107987218	0	0	0	0	0	0
LOC107987218_1	0	0	0	0	0	0
LOC107987219	0	0	0	0	0	0
LOC107987220	0	0	0	0	0	0
LOC107987221	0	0	0	0	0	0
LOC107987222	0	0	0	0	0	0
LOC107987223	0	4	0	2	0	1
LOC107987224	0	0	0	0	1	0
LOC107987225	1	0	0	0	0	0
LOC107987227	0	0	0	0	0	0
LOC107987228	22	466	41	26	59	92
LOC107987233	0	0	0	0	0	0
LOC107987234	0	0	0	0	0	0
LOC107987234_1	0	0	0	0	0	0
